Model,TF-IDF Config,Analyzer,Ngram Range,Max Features,C,Accuracy,Macro F1,Macro Precision,Macro Recall,Vectorization Time Seconds,Train Time Seconds
TF-IDF + Tuned Logistic Regression,char_wb_3_5_80k,char_wb,"(3, 5)",80000,1.0,0.6821,0.6808,0.6825,0.6808,1.56,0.27
TF-IDF + Tuned Logistic Regression,char_wb_2_6_100k,char_wb,"(2, 6)",100000,0.5,0.6817,0.6799,0.6826,0.6801,2.5,0.36
TF-IDF + Tuned Logistic Regression,char_wb_2_5_50k,char_wb,"(2, 5)",50000,0.5,0.6811,0.6795,0.6818,0.6797,2.46,0.31
TF-IDF + Tuned Logistic Regression,char_wb_2_6_100k,char_wb,"(2, 6)",100000,2.0,0.6801,0.6794,0.68,0.6793,2.5,0.53
TF-IDF + Tuned Logistic Regression,char_wb_2_5_50k,char_wb,"(2, 5)",50000,1.0,0.6804,0.6794,0.6805,0.6793,2.46,0.4
TF-IDF + Tuned Logistic Regression,char_wb_3_5_80k,char_wb,"(3, 5)",80000,0.5,0.6813,0.6794,0.6823,0.6796,1.56,0.24
TF-IDF + Tuned Logistic Regression,char_wb_2_6_100k,char_wb,"(2, 6)",100000,1.0,0.6803,0.6793,0.6803,0.6792,2.5,0.44
TF-IDF + Tuned Logistic Regression,char_3_5_80k,char,"(3, 5)",80000,0.5,0.6806,0.6783,0.682,0.6787,2.5,0.29
TF-IDF + Tuned Logistic Regression,char_wb_3_5_80k,char_wb,"(3, 5)",80000,2.0,0.6787,0.6778,0.6787,0.6778,1.56,0.34
TF-IDF + Tuned Logistic Regression,char_wb_3_5_80k,char_wb,"(3, 5)",80000,0.25,0.68,0.6773,0.6821,0.6779,1.56,0.25
TF-IDF + Tuned Logistic Regression,char_wb_2_6_100k,char_wb,"(2, 6)",100000,0.25,0.6796,0.6772,0.6812,0.6777,2.5,0.42
TF-IDF + Tuned Logistic Regression,char_3_5_80k,char,"(3, 5)",80000,0.25,0.6796,0.6762,0.6827,0.6772,2.5,0.34
TF-IDF + Tuned Logistic Regression,char_wb_2_5_50k,char_wb,"(2, 5)",50000,2.0,0.6758,0.675,0.6757,0.6749,2.46,0.46
TF-IDF + Tuned Logistic Regression,char_wb_2_5_50k,char_wb,"(2, 5)",50000,0.25,0.6772,0.6749,0.6787,0.6753,2.46,0.38
TF-IDF + Tuned Logistic Regression,char_3_5_80k,char,"(3, 5)",80000,1.0,0.6752,0.6736,0.6759,0.6737,2.5,0.35
TF-IDF + Tuned Logistic Regression,char_wb_2_6_100k,char_wb,"(2, 6)",100000,4.0,0.6738,0.6733,0.6736,0.6732,2.5,0.81
TF-IDF + Tuned Logistic Regression,char_wb_3_5_80k,char_wb,"(3, 5)",80000,4.0,0.6724,0.6719,0.6722,0.6718,1.56,0.49
TF-IDF + Tuned Logistic Regression,char_3_5_80k,char,"(3, 5)",80000,2.0,0.6727,0.6716,0.6728,0.6716,2.5,0.51
TF-IDF + Tuned Logistic Regression,char_wb_2_5_50k,char_wb,"(2, 5)",50000,4.0,0.6718,0.6712,0.6715,0.6711,2.46,0.69
TF-IDF + Tuned Logistic Regression,char_3_5_80k,char,"(3, 5)",80000,4.0,0.667,0.6663,0.6667,0.6662,2.5,0.63
TF-IDF + Tuned Logistic Regression,word_1_2_50k,word,"(1, 2)",50000,0.5,0.668,0.6663,0.6685,0.6665,0.69,0.04
TF-IDF + Tuned Logistic Regression,word_1_2_50k,word,"(1, 2)",50000,0.25,0.6659,0.6634,0.6672,0.6639,0.69,0.03
TF-IDF + Tuned Logistic Regression,word_1_2_50k,word,"(1, 2)",50000,1.0,0.6631,0.6618,0.6631,0.6619,0.69,0.05
TF-IDF + Tuned Logistic Regression,word_1_2_50k,word,"(1, 2)",50000,2.0,0.6614,0.6605,0.6612,0.6604,0.69,0.06
TF-IDF + Tuned Logistic Regression,word_1_2_50k,word,"(1, 2)",50000,4.0,0.6543,0.6535,0.654,0.6535,0.69,0.08
